,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
87,Winston-Salem,North Carolina,36.09985959999999,-80.244216,Smith Reynolds Airport,"3801 N Liberty St #204, Winston-Salem",4.6
88,Glendale,Arizona,34.1425078,-118.255075,ABC-TV Heliport,Los Angeles,0
89,Hialeah,Florida,25.8575963,-80.2781057,Miami International Airport,"2100 NW 42nd Ave, Miami",4.1
90,Garland,Texas,32.912624,-96.63888329999999,,,
91,Scottsdale,Arizona,33.4941704,-111.9260519,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",4.3
92,Irving,Texas,32.8140177,-96.9488945,,,
93,Chesapeake,Virginia,36.7682088,-76.2874927,,,
94,North Las Vegas,Nevada,36.1988592,-115.1175013,North Las Vegas Airport,"2730 Airport Dr, North Las Vegas",4.3
95,Fremont,California,37.5485396,-121.988583,,,
96,Baton Rouge,Louisiana,30.4514677,-91.18714659999999,,,
97,Richmond,Virginia,37.5407246,-77.4360481,,,
98,Boise,Idaho,43.6150186,-116.2023137,Boise Airport,"3201 W Airport Way #1000, Boise",4.5
99,San Bernardino,California,34.1083449,-117.2897652,SBD International Airport - GA Hangars,"170, Victoria Ave, San Bernardino",4.8
